Casilla,Visitas_promedio
1,1.0
2,0.0
3,0.19908
4,0.23966
5,0.28741
6,0.0
7,0.14329
8,0.17376
9,0.16866
10,0.6073
11,0.6943
12,0.35332
13,0.0
14,0.36449
15,1.07189
16,0.0
17,0.81907
18,0.0
19,0.0
20,0.37951
21,0.23838
22,0.74255
23,0.0
24,0.61868
25,0.77214
26,0.47246
27,0.51982
28,0.48117
29,0.57415
30,1.01383
31,0.61379
32,0.63542
33,0.66823
34,0.70059
35,0.72941
36,0.0
37,1.04613
38,0.62985
39,0.6191
40,0.0
41,0.0
42,0.45954
43,0.74194
44,0.36329
45,0.31273
46,0.0
47,0.62573
48,1.01998
49,0.0
50,0.0
